date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:33:23	172935/172935	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:24%20GMT	http://www.coptic.org/language/silvanos.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/silvanos.htm	(from )
08:33:24	4860/4860	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:15%20GMT	http://www.coptic.org/language/pachomian.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/pachomian.html	(from )
08:33:24	5636/5636	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:45%20GMT	http://www.coptic.org/language/Penyoat.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Penyoat.htm	(from )
08:33:25	4409/4409	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:06:26%20GMT	http://www.coptic.org/language/sqa.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/sqa.htm	(from )
08:33:25	2042/2042	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:33%20GMT	http://www.coptic.org/language/hanfoji.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/hanfoji.html	(from )
08:33:26	4102/4102	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:04:47%20GMT	http://www.coptic.org/language/philosophia.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/philosophia.html	(from )
08:49:21	11812770/11812770	---M--	200	added ('OK')	application/pdf	date:Fri,%2013%20Nov%202009%2000:44:47%20GMT	http://www.coptic.org/language/copticmanuscript00crumuoft.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/copticmanuscript00crumuoft.pdf	(from )
09:00:43	8452292/8452292	---M--	200	added ('OK')	application/pdf	date:Fri,%2013%20Nov%202009%2008:01:27%20GMT	http://www.coptic.org/language/linguisticessays00abelrich_bw.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/linguisticessays00abelrich_bw.pdf	(from )
09:07:49	25608439/25608439	---M--	200	added ('OK')	application/pdf	date:Thu,%2012%20Nov%202009%2023:47:03%20GMT	http://www.coptic.org/language/Budge-Apocrypha.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Budge-Apocrypha.pdf	(from )
10:15:10	49071571/49071571	---M--	200	added ('OK')	application/pdf	date:Fri,%2013%20Nov%202009%2009:03:31%20GMT	http://www.coptic.org/language/martyrdommiracle00budguoft.pdf	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/martyrdommiracle00budguoft.pdf	(from )
10:15:13	77324/77324	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:55:52%20GMT	http://www.coptic.org/language/Contemporarydoxologies.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/Contemporarydoxologies.html	(from )
10:15:15	8607/8607	---M--	200	added ('OK')	text/html	date:Fri,%2001%20Jan%202010%2014:33:53%20GMT	http://www.coptic.org/language/contemporary.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/contemporary.html	(from )
10:15:16	82626/82626	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2021:02:36%20GMT	http://www.coptic.org/language/hansma.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/hansma.html	(from )
10:15:20	67958/67958	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:55:39%20GMT	http://www.coptic.org/language/calendar1717.htm	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/calendar1717.htm	(from )
10:15:24	24369/24369	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20May%202008%2021:06:31%20GMT	http://www.coptic.org/language/t3.jpg	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/t3.jpg	(from )
10:15:25	3122/3122	---M--	200	added ('OK')	text/html	date:Fri,%2009%20May%202008%2020:50:43%20GMT	http://www.coptic.org/language/acknoledge.html	C:/Devel/Web%20Algo/CopticDocuments/Coptic%20Documents/www.coptic.org/language/acknoledge.html	(from )
